aggregate_period,partial,tracked_channels,recently_active_any,recently_active_yt,recently_active_twitch,activation_rate,yt_subs_median,yt_subs_p90,yt_top10_share,yt_view_top10_share,yt_tier_mega,yt_tier_large,yt_tier_mid,yt_tier_small,yt_live_streams,yt_live_hosts,tw_live_streams,tw_live_hosts,topvid_view_median,topvid_view_max,source_url,last_verified
2021-03,false,,120,120,0,,,,,,,,,,,,,,,,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2021-06,false,,50,50,7,,,,,,,,,,,,,,,,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2021-09,false,,140,140,15,,,,,,,,,,,,,,,,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2021-12,false,,933,914,79,,,,,,,,,,,,,,,,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-03,false,1723,1324,1264,201,76.8,462,3600,0.4436,0.7452,11,58,428,1136,,,,,5876,114202,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-06,false,2058,1529,1419,376,74.3,462,4080,0.3706,0.6041,8,71,535,1307,1084,519,,,5346,351624,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-09,false,2291,1545,1373,452,67.4,487,4660,0.3188,0.5712,9,97,630,1467,1265,579,,,6037,342210,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2022-12,false,2446,1626,1417,501,66.5,515,4960,0.2912,0.552,9,115,675,1545,1273,560,,,7071,319266,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2023-03,false,2557,1664,1430,558,65.1,547,5240,0.2727,0.5367,11,139,726,1573,1274,569,,,7869,196652,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2023-06,false,2725,1732,1502,588,63.6,562,5360,0.2564,0.5177,14,151,803,1640,1472,655,,,9428,493224,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2023-09,false,2290,1711,1474,584,74.7,803,7580,0.2379,0.4743,20,168,808,1206,850,630,115,115,9456,443058,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2023-12,false,2405,1760,1510,639,73.2,865,9370,0.2173,0.445,20,204,869,1219,886,673,270,270,12467,188596,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2024-03,false,2583,1804,1539,676,69.8,890,10100,0.1965,0.4184,22,228,930,1303,956,676,130,130,14707,255247,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2024-06,false,2567,1827,1543,694,71.2,950,11100,0.1872,0.3921,24,247,934,1260,848,609,149,149,13430,602454,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2024-09,false,2584,1864,1588,728,72.1,1060,12400,0.1769,0.374,31,267,981,1199,968,639,122,122,15400,343384,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2024-12,false,2660,1860,1557,746,69.9,1090,13700,0.1683,0.3542,32,287,1020,1212,1121,768,331,331,13385,464081,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2025-03,false,2687,1858,1566,753,69.1,1160,15000,0.163,0.3478,38,307,1061,1173,1041,682,152,152,12851,456114,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2025-06,false,2788,1926,1604,799,69.1,1200,15400,0.1572,0.3398,40,336,1097,1203,998,669,159,159,16780,782435,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2025-09,false,2873,1971,1659,833,68.6,1290,16000,0.1513,0.3316,41,361,1151,1198,1185,758,167,167,18549,1256929,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2025-12,false,2979,2002,1681,827,67.2,1360,16600,0.1438,0.3204,42,396,1211,1203,1247,853,369,369,20525,509536,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2026-03,false,3015,2023,1679,864,67.1,1450,17300,0.1399,0.3137,42,421,1244,1181,1186,788,176,176,19663,637908,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
2026-06,true,3033,2037,1668,906,67.2,1490,18000,0.1371,0.3044,43,429,1264,1167,698,490,54,54,18803,1431208,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData; https://github.com/TaiwanVtuberData/TaiwanVTuberTrackingDataArchive,2026-06-07
