aggregate_period,source_project,source_category,aggregate_count,source_url,last_verified,notes_for_methodology
2025-Q4,TaiwanVtuberData/TaiwanVtuberTrackingData,basic-data,610,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData,2026-06-07,Quarter-level aggregate from public repository file metadata; raw CSV rows not copied.
2025-Q4,TaiwanVtuberData/TaiwanVtuberTrackingData,other,728,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData,2026-06-07,Quarter-level aggregate from public repository file metadata; raw CSV rows not copied.
2025-Q4,TaiwanVtuberData/TaiwanVtuberTrackingData,twitch-livestreams,298,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData,2026-06-07,Quarter-level aggregate from public repository file metadata; raw CSV rows not copied.
2025-Q4,TaiwanVtuberData/TaiwanVtuberTrackingData,youtube-livestreams,364,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData,2026-06-07,Quarter-level aggregate from public repository file metadata; raw CSV rows not copied.
2026-Q1,TaiwanVtuberData/TaiwanVtuberTrackingData,basic-data,900,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData,2026-06-07,Quarter-level aggregate from public repository file metadata; raw CSV rows not copied.
2026-Q1,TaiwanVtuberData/TaiwanVtuberTrackingData,other,1076,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData,2026-06-07,Quarter-level aggregate from public repository file metadata; raw CSV rows not copied.
2026-Q1,TaiwanVtuberData/TaiwanVtuberTrackingData,twitch-livestreams,486,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData,2026-06-07,Quarter-level aggregate from public repository file metadata; raw CSV rows not copied.
2026-Q1,TaiwanVtuberData/TaiwanVtuberTrackingData,youtube-livestreams,538,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData,2026-06-07,Quarter-level aggregate from public repository file metadata; raw CSV rows not copied.
2026-Q2,TaiwanVtuberData/TaiwanVtuberTrackingData,basic-data,675,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData,2026-06-07,Quarter-level aggregate from public repository file metadata; raw CSV rows not copied.
2026-Q2,TaiwanVtuberData/TaiwanVtuberTrackingData,other,800,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData,2026-06-07,Quarter-level aggregate from public repository file metadata; raw CSV rows not copied.
2026-Q2,TaiwanVtuberData/TaiwanVtuberTrackingData,twitch-livestreams,458,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData,2026-06-07,Quarter-level aggregate from public repository file metadata; raw CSV rows not copied.
2026-Q2,TaiwanVtuberData/TaiwanVtuberTrackingData,youtube-livestreams,400,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData,2026-06-07,Quarter-level aggregate from public repository file metadata; raw CSV rows not copied.
